task_id,label_fr,label_ar,label_en,week_min,week_max,type,priority,linked_article_ids,linked_calendar_template_ids,sources
t24_signes_travail,"Réviser les signes du début du travail",,,37,40,"preparation","medium","a12_signes_du_travail",,"NHS"
t25_rdv_postnatal,"Prendre RDV pour la consultation post-natale (6-8 semaines après)",,,38,40,"medical","low","a14_post-partum",c09_consultation_postnatale,"HAS"
t26_perinee_kine,"Obtenir l'ordonnance pour la rééducation du périnée",,,38,40,"medical","medium","a14_post-partum",,"HAS"
t27_choix_pediatre,"Choisir et contacter le futur pédiatre",,,30,36,"admin","medium","a08_liste_dachats_pour",,"self_care"
t28_inscription_creche,"Faire les démarches d'inscription en crèche/garde",,,12,24,"admin","low","a17_droits_et_aides",,"self_care"
t29_plan_naissance,"Rédiger le projet de naissance (si souhaité)",,,28,34,"preparation","low","a09_préparation_à_laccouchement",,"self_care"
t30_controle_tension,"Contrôler sa tension artérielle (si risque)",,,28,40,"medical","high","a03_examens_médicaux_pendant",,"ACOG"
t31_vitamine_d,"Vérifier la prise de Vitamine D",,,1,40,"nutrition","medium","a02_alimentation_pendant_la",,"HAS"
t32_fer,"Vérifier la prise de Fer (si anémie)",,,14,40,"nutrition","medium","a02_alimentation_pendant_la",,"HAS"
t33_grossesse_travail,"Se renseigner sur les droits au travail (aménagement, congé)",,,1,12,"admin","medium","a16_grossesse_et_travail",,"self_care"
t34_achat_poussette,"Acheter la poussette et le siège auto",,,20,30,"preparation","medium","a08_liste_dachats_pour",,"self_care"
t35_achat_vetements,"Laver les vêtements de bébé (taille naissance et 1 mois)",,,34,38,"preparation","low","a08_liste_dachats_pour",,"self_care"
t36_repas_conge_2,"Préparer d'autres repas à congeler pour le post-partum",,,38,40,"preparation","low","a14_post-partum",,"self_care"
t37_cours_allaitement,"Suivre un cours de préparation à l'allaitement (si souhaité)",,,28,34,"preparation","low","a13_allaitement",c05_cours_preparation,"NHS"
t38_massage_dos,"Demander un massage du dos (si douleurs)",,,14,40,"self_care","low","a01_symptômes_de_grossesse",,"self_care"
t39_lecture_postpartum,"Commencer la lecture sur le post-partum et le nouveau-né",,,30,40,"self_care","low","a14_post-partum",,"self_care"
t40_mouvements_bebe_suivi,"Être attentive aux mouvements du bébé (quotidien)",,,24,40,"medical","high","a20_mouvements_du_bébé",,"ACOG"
t41_hydratation_suivi,"Boire au moins 1.5L d'eau par jour",,,1,40,"nutrition","medium","a02_alimentation_pendant_la",,"OMS"
t42_marche_quotidienne,"Faire une marche de 30 minutes",,,1,40,"sport","medium","a05_exercice_physique_pendant",,"ACOG"
t43_repos_sieste,"Faire une sieste si possible",,,1,40,"sommeil","low","a06_sommeil_pendant_la",,"self_care"
t44_vitamine_c,"Consommer des aliments riches en Vitamine C",,,1,40,"nutrition","low","a02_alimentation_pendant_la",,"OMS"
t45_omega3,"Consommer des aliments riches en Oméga-3 (poissons gras)",,,1,40,"nutrition","medium","a02_alimentation_pendant_la",,"OMS"
t46_etirements_quotidiens,"Faire des étirements quotidiens",,,1,40,"sport","low","a05_exercice_physique_pendant",,"self_care"
t47_respiration_profonde,"Pratiquer la respiration profonde",,,1,40,"self_care","low","a07_changements_émotionnels_pendant",,"self_care"
t48_eviter_toxiques,"Éviter l'alcool et le tabac",,,1,40,"sante","high","a01_symptômes_de_grossesse",,"HAS"
t49_controle_poids,"Contrôler sa prise de poids",,,1,40,"nutrition","low","a02_alimentation_pendant_la",,"HAS"
t50_rdv_dentiste,"Prendre RDV chez le dentiste",,,1,20,"medical","medium","a03_examens_médicaux_pendant",c10_rdv_dentiste,"HAS"
t51_achat_couches,"Acheter les premières couches et produits de soin",,,30,36,"preparation","medium","a08_liste_dachats_pour",,"self_care"
t52_achat_tire_lait,"Se renseigner sur la location/achat d'un tire-lait",,,30,36,"preparation","low","a13_allaitement",,"self_care"
t53_reeducation_perinee_post,"Commencer la rééducation du périnée (après 6-8 semaines)",,,48,60,"medical","high","a14_post-partum",c11_reeducation_perinee,"HAS"
t54_rdv_postnatal_6sem,"Faire la consultation post-natale des 6-8 semaines",,,46,48,"medical","high","a14_post-partum",c09_consultation_postnatale,"HAS"
t55_reprise_sport_doux,"Reprendre une activité physique douce (marche, natation)",,,48,60,"sport","medium","a05_exercice_physique_pendant",,"self_care"
t56_contraception,"Discuter de la contraception avec le médecin",,,46,48,"medical","high","a18_grossesse_et_sexualité",c09_consultation_postnatale,"HAS"
t57_reprise_travail,"Préparer la reprise du travail (mode de garde)",,,40,52,"admin","medium","a16_grossesse_et_travail",,"self_care"
t58_soutien_moral,"Demander de l'aide si baby blues ou tristesse",,,40,52,"emotions","high","a15_dépression_post-partum",,"self_care"
t59_controle_thyroide,"Contrôler la thyroïde (si antécédents)",,,1,12,"medical","medium","a03_examens_médicaux_pendant",c03_bilan_sanguin_t1,"HAS"
t60_achat_vetements,"Acheter les vêtements de bébé (taille 3 et 6 mois)",,,20,30,"preparation","low","a08_liste_dachats_pour",,"self_care"
