label_fr,topic,week_min,week_max,linked_article_ids,linked_red_flag_ids,keywords_fr,response_fr,suggestion_id,label_ar,label_en,response_ar,response_en
Comment préparer mon congé maternité ?,administratif,14,40,a17_droits_et_aides,,"congé maternité,droits,travail",Renseignez-vous sur les dates de début et de fin. Le congé est obligatoire.,cs043,,,,
J'ai peur de l'accouchement,emotions,14,40,a07_changements_émotionnels_pendant,,"peur,accouchement,douleur",Les cours de préparation à la naissance sont faits pour ça. Parlez de vos peurs à votre sage-femme.,cs044,,,,
Puis-je faire de la natation ?,sport,14,40,a05_exercice_physique_pendant,,"natation,piscine,sport aquatique","Oui, c'est excellent pour soulager le dos et les jambes. Assurez-vous que l'eau est bien traitée.",cs045,,,,
Mon ventre est-il assez gros ?,symptomes,14,40,a01_symptômes_de_grossesse,,"ventre,taille,comparaison",Chaque ventre est différent. Le médecin vérifie la hauteur utérine à chaque consultation. Faites-lui confiance.,cs046,,,,
Comment choisir le prénom ?,emotions,14,40,a07_changements_émotionnels_pendant,,"prénom,choix,idées",C'est un choix personnel et important. Prenez votre temps et discutez-en en couple.,cs047,,,,
Comment parler au bébé in utero ?,emotions,20,40,a07_changements_émotionnels_pendant,,"parler au bébé,entendre,lien","Le bébé entend à partir de 20 semaines. Parlez-lui, chantez-lui, cela renforce le lien affectif.",cs048,,,,
J'ai des hémorroïdes,symptomes,14,40,a01_symptômes_de_grossesse,,"hémorroïdes,constipation,douleur",Augmentez les fibres et l'eau pour éviter la constipation. Parlez-en à votre médecin pour un traitement local.,cs049,,,,
Comment gérer les maux de dos ?,sport,14,40,a05_exercice_physique_pendant,,"mal au dos,posture,étirement",Évitez de cambrer. Les étirements doux et le port d'une ceinture de soutien peuvent soulager.,cs050,,,,
Je ne sens plus mon bébé bouger,mouvements_bebe,28,40,a20_mouvements_du_bébé,ne sens plus le bébé,"bébé bouge pas,moins de mouvements,activité fœtale","C'est une urgence. Allongez-vous sur le côté gauche et concentrez-vous. Si vous ne sentez rien en 2 heures, contactez immédiatement la maternité (Red Flag : Ne sens plus le bébé).",cs051,,,,
J'ai des douleurs intenses au ventre,symptomes,28,40,a12_signes_du_travail,crampes sévères,"douleur ventre,contractions,mal bas ventre","Si les douleurs sont régulières et ne passent pas au repos, chronométrez-les. Si elles sont très intenses, contactez les urgences (Red Flag : Crampes sévères).",cs052,,,,
J'ai perdu les eaux,accouchement,28,40,a12_signes_du_travail,liquide chaud,"perte des eaux,liquide chaud,ça coule","Si le liquide est clair, notez l'heure et contactez la maternité. Si c'est avant 37 semaines, c'est une urgence (Red Flag : Rupture prématurée).",cs053,,,,
J'ai des maux de tête violents,symptomes,28,40,a01_symptômes_de_grossesse,céphalée,"mal de tête,migraine,tension","Si le mal de tête est violent et ne passe pas, vérifiez votre tension. C'est un signe possible de pré-éclampsie (Red Flag : Céphalée).",cs054,,,,
J'ai de la fièvre,symptomes,28,40,a01_symptômes_de_grossesse,température élevée,"fièvre,38.5,infection",Prenez du paracétamol et contactez votre médecin. Une fièvre élevée peut être dangereuse pour le bébé (Red Flag : Température élevée).,cs055,,,,
J'ai des difficultés à respirer,symptomes,28,40,a01_symptômes_de_grossesse,essoufflement,"essoufflement,souffle court,respiration","C'est souvent dû à l'utérus qui pousse sur les poumons. Reposez-vous. Si c'est soudain et intense, consultez (Red Flag : Essoufflement).",cs056,,,,
J'ai des contractions régulières,accouchement,37,40,a12_signes_du_travail,,"contractions,travail,accouchement","Si elles sont régulières (toutes les 5 minutes) et douloureuses, il est temps de contacter la maternité.",cs057,,,,
J'ai perdu le bouchon muqueux,accouchement,37,40,a12_signes_du_travail,,"bouchon muqueux,perte,signe","C'est un signe que le col se modifie, mais l'accouchement peut ne pas être imminent. Contactez votre sage-femme.",cs058,,,,
Mon bébé est en siège,accouchement,32,40,a10_différentes_méthodes_daccouchement,,"siège,bébé mal positionné,retournement",Le médecin peut proposer une version par manœuvre externe (VME) ou planifier une césarienne. Discutez des options.,cs059,,,,
J'ai des douleurs au foie,symptomes,28,40,a01_symptômes_de_grossesse,douleur foie,"douleur foie,mal sous les côtes,douleur épigastrique",C'est un signe d'alerte. Contactez immédiatement la maternité (Red Flag : Douleur foie).,cs060,,,,
Comment se préparer à l'accouchement ?,preparation,28,40,a09_préparation_à_laccouchement,,"préparation,cours,respiration",Suivez les cours de préparation à la naissance. Pratiquez la relaxation et les exercices de respiration.,cs061,,,,
Comment faire ma valise de maternité ?,preparation,30,40,a08_liste_dachats_pour,,"valise,maternité,affaires bébé","Préparez une valise pour vous, une pour le bébé et une pour le papa. Elle doit être prête vers 36 semaines.",cs062,,,,
Quel est le rôle du partenaire pendant l'accouchement ?,preparation,28,40,a09_préparation_à_laccouchement,,"partenaire,papa,soutien","Le partenaire est un soutien émotionnel et physique essentiel. Il peut masser, encourager et communiquer avec l'équipe médicale.",cs063,,,,
Puis-je avoir une péridurale ?,accouchement,28,40,a11_péridurale,,"péridurale,douleur,anesthésie","Oui, si vous le souhaitez et si l'anesthésiste est disponible. C'est un choix personnel.",cs064,,,,
Quelles sont les méthodes d'accouchement ?,accouchement,28,40,a10_différentes_méthodes_daccouchement,,"accouchement,naturel,césarienne,voie basse","Il existe l'accouchement par voie basse (naturel, avec ou sans péridurale) et la césarienne. Discutez de votre projet de naissance.",cs065,,,,
Comment gérer la douleur sans péridurale ?,accouchement,28,40,a09_préparation_à_laccouchement,,"douleur,sans péridurale,méthodes naturelles","Les techniques de respiration, l'hypnose, le bain ou le ballon peuvent aider à gérer la douleur.",cs066,,,,
Comment se passe une césarienne ?,accouchement,28,40,a10_différentes_méthodes_daccouchement,,"césarienne,opération,cicatrice",C'est une intervention chirurgicale. Elle peut être programmée ou décidée en urgence. Le rétablissement est plus long.,cs067,,,,
Quand faire l'échographie du 3ème trimestre ?,examens,30,34,a03_examens_médicaux_pendant,,"écho T3,32 semaines,dernière échographie","Elle se fait autour de 32 semaines. Elle vérifie la croissance, la position du bébé et le placenta.",cs068,,,,
Comment choisir le pédiatre ?,achats,28,40,a08_liste_dachats_pour,,"pédiatre,médecin bébé,choix",Demandez des recommandations à votre gynécologue ou à d'autres parents. Il est important de le choisir avant la naissance.,cs069,,,,
J'ai des œdèmes,symptomes,28,40,a01_symptômes_de_grossesse,gonflement visage,"gonflement,œdèmes,pieds gonflés","Surélevez vos jambes et évitez de rester debout trop longtemps. Si le gonflement est soudain au visage, consultez (Red Flag : Gonflement visage).",cs070,,,,
Comment se passe le post-partum ?,post-partum,40,52,a14_post-partum,,"post-partum,après accouchement,suites de couches",C'est une période de récupération physique et émotionnelle. Soyez patiente avec vous-même.,cs071,,,,
J'ai des pensées négatives après l'accouchement,post-partum,40,52,a15_dépression_post-partum,pensées suicidaires,"baby blues,dépression,tristesse","Le baby blues est fréquent. Si la tristesse persiste au-delà de 2 semaines, consultez un professionnel (Red Flag : Pensées suicidaires).",cs072,,,,
Je veux allaiter,post-partum,40,52,a13_allaitement,,"allaitement,sein,lait maternel",C'est un choix merveilleux. Renseignez-vous sur les bonnes positions et n'hésitez pas à demander de l'aide à la maternité.,cs073,,,,
Comment prendre soin de mon périnée ?,post-partum,40,52,a14_post-partum,,"périnée,rééducation,cicatrice",La rééducation est essentielle après l'accouchement. Commencez les exercices de Kegel dès que possible (avec l'accord de votre médecin).,cs074,,,,
Quand reprendre les relations sexuelles ?,post-partum,40,52,a18_grossesse_et_sexualité,,"sexe,reprise,intimité",Attendez le rendez-vous post-natal (6-8 semaines) et que vous vous sentiez prête physiquement et émotionnellement.,cs075,,,,
J'ai des difficultés à allaiter,post-partum,40,52,a13_allaitement,,"difficultés,douleur,crevasses",Contactez une consultante en lactation ou une sage-femme. Une bonne position est la clé.,cs076,,,,
Quels sont les signes de la dépression post-partum ?,post-partum,40,52,a15_dépression_post-partum,pensées suicidaires,"dépression,symptômes,aide","Tristesse persistante, perte d'intérêt, anxiété, irritabilité. Si ces signes durent, consultez rapidement.",cs077,,,,
J'ai des saignements après l'accouchement,post-partum,40,52,a14_post-partum,hémorragie,"lochies,saignements,après accouchement","Les lochies (saignements) sont normales. Si elles deviennent très abondantes ou malodorantes, consultez (Red Flag : Hémorragie).",cs078,,,,
Comment gérer la fatigue avec un nouveau-né ?,post-partum,40,52,a14_post-partum,,"fatigue,nouveau-né,sommeil",Dormez quand le bébé dort. N'hésitez pas à demander de l'aide à votre entourage.,cs079,,,,
J'ai des douleurs à la cicatrice de césarienne,post-partum,40,52,a14_post-partum,rupture_utérine,"cicatrice,césarienne,douleur","La douleur est normale au début. Si elle est très intense et soudaine, consultez (Red Flag : Rupture utérine).",cs080,,,,
