week_number,title_fr,title_ar,title_en,emoji,trimester,baby_size_label_fr,baby_size_label_ar,baby_size_label_en,baby_size_cm,baby_weight_g,baby_dev_text_fr,baby_dev_text_ar,baby_dev_text_en,mom_body_text_fr,mom_body_text_ar,mom_body_text_en,warnings_text_fr,warnings_text_ar,warnings_text_en,recommended_articles_ids,recommended_supplements_ids,calendar_template_ids,baby_image_static_url,baby_3d_model_url
11,Semaine 11 – ### Le développement des traits du visage,,,🍋,1,"Figue (4,1 cm)",,,4.1,7.0,"Le visage est bien formé avec un nez et des lèvres distincts. Les oreilles se déplacent vers leur position finale. Le fœtus peut maintenant ouvrir et fermer sa bouche, et même avoir le hoquet. Les organes génitaux continuent de se développer.",,,La fin du premier trimestre approche. Les nausées et la fatigue devraient commencer à s'atténuer. Votre utérus grossit et vous pourriez ressentir de légères douleurs ligamentaires. Votre ventre n'est pas encore très visible.,,,"Restez vigilante face aux saignements vaginaux abondants ou aux douleurs abdominales intenses. Si les nausées persistent et entraînent une déshydratation, consultez immédiatement (rf01, rf02, rf07).",,,"a03_examens_médicaux_pendant,a05_exercice_physique_pendant,a16_grossesse_et_travail","s01_acide_folique,s03_vitamine_d","c04,c11,c15",week_11.png,
12,Semaine 12 – ### La formation des empreintes digitales,,,🍋,1,"Citron vert (5,4 cm)",,,5.4,14.0,"Les empreintes digitales uniques de votre bébé se forment. Le système digestif commence à s'exercer en avalant du liquide amniotique. Les reins commencent à produire de l'urine qui est libérée dans le liquide amniotique. Le squelette, jusqu'ici cartilagineux, commence à s'ossifier.",,,La fin du premier trimestre approche. Les nausées et la fatigue devraient commencer à s'atténuer. Votre utérus grossit et vous pourriez ressentir de légères douleurs ligamentaires. Votre ventre n'est pas encore très visible.,,,"Restez vigilante face aux saignements vaginaux abondants ou aux douleurs abdominales intenses. Si les nausées persistent et entraînent une déshydratation, consultez immédiatement (rf01, rf02, rf07).",,,"a03_examens_médicaux_pendant,a05_exercice_physique_pendant,a16_grossesse_et_travail","s03_vitamine_d,s05_dha_omega3","c04,c19,c15",week_12.png,
13,Semaine 13 – ### La fin du premier trimestre,,,🥑,1,"Pêche (7,4 cm)",,,7.4,23.0,"Félicitations, vous avez terminé le premier trimestre ! Le risque de fausse couche diminue considérablement. Le fœtus a maintenant tous ses organes, bien qu'ils continuent à se développer et à mûrir. Les cordes vocales se forment. Le fœtus peut sucer son pouce et faire des expressions faciales.",,,La fin du premier trimestre approche. Les nausées et la fatigue devraient commencer à s'atténuer. Votre utérus grossit et vous pourriez ressentir de légères douleurs ligamentaires. Votre ventre n'est pas encore très visible.,,,"Restez vigilante face aux saignements vaginaux abondants ou aux douleurs abdominales intenses. Si les nausées persistent et entraînent une déshydratation, consultez immédiatement (rf01, rf02, rf07).",,,"a05_exercice_physique_pendant,a06_sommeil_pendant_la,a16_grossesse_et_travail","s05_dha_omega3,s07_magnesium","c05,c15",week_13.png,
14,Semaine 14 – ### Le développement des sens,,,🥑,2,"Citron (8,7 cm)",,,8.7,43.0,"Votre bébé commence à développer son sens du toucher et peut porter ses mains à son visage. Ses organes sensoriels poursuivent leur développement. Les yeux, bien que fermés, peuvent percevoir la lumière. Le système immunitaire commence à se former. Les mouvements deviennent plus coordonnés.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a05_exercice_physique_pendant,a06_sommeil_pendant_la,a16_grossesse_et_travail","s05_dha_omega3,s07_magnesium","c05,c15",week_14.png,
15,Semaine 15 – ### La croissance des cheveux,,,🥑,2,"Pomme (10,1 cm)",,,10.1,70.0,Les premiers cheveux fins commencent à apparaître sur la tête de votre bébé. Un duvet appelé lanugo recouvre également son corps pour le protéger. Les os continuent de se développer et deviennent plus solides. Le fœtus peut désormais faire des grimaces et froncer les sourcils.,,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a05_exercice_physique_pendant,a06_sommeil_pendant_la,a18_grossesse_et_sexualité","s02_fer,s07_magnesium","c05,c15",week_15.png,
16,Semaine 16 – ### L'éveil des sens,,,🥑,2,Avocat (16 cm),,,16.0,150.0,Votre bébé commence à entendre les sons extérieurs et peut réagir à la lumière vive. Ses yeux peuvent désormais percevoir la lumière même s'ils restent fermés. Son squelette continue de se développer et ses os se renforcent.,,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a05_exercice_physique_pendant,a06_sommeil_pendant_la,a18_grossesse_et_sexualité","s02_fer,s07_magnesium","c05,c15",week_16.png,
17,Semaine 17 – ### Le développement des glandes sudoripares,,,🍐,2,Poire (13 cm),,,13.0,140.0,"Les glandes sudoripares de votre bébé se développent. Le tissu adipeux commence à se former sous la peau, ce qui l'aidera à réguler sa température après la naissance. Le cordon ombilical devient plus épais et plus fort. Si c'est une fille, son utérus et ses ovaires sont en place.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a05_exercice_physique_pendant,a06_sommeil_pendant_la,a18_grossesse_et_sexualité","s02_fer,s07_magnesium","c05,c15",week_17.png,
18,Semaine 18 – ### Les premiers mouvements ressentis,,,🍐,2,"Poivron (14,2 cm)",,,14.2,190.0,"Vous pourriez commencer à sentir les mouvements de votre bébé, souvent décrits comme des ""papillons"" ou des ""bulles"". Les oreilles ont maintenant leur position définitive sur les côtés de la tête. Les yeux font face vers l'avant plutôt que sur les côtés. Le système digestif continue de se développer.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a05_exercice_physique_pendant,a06_sommeil_pendant_la,a08_liste_dachats_pour","s02_fer,s07_magnesium","c06,c15",week_18.png,
19,Semaine 19 – ### Le développement du vernix,,,🍐,2,"Mangue (15,3 cm)",,,15.3,240.0,Une substance crémeuse appelée vernix caseosa commence à recouvrir la peau de votre bébé pour la protéger du liquide amniotique. Les mouvements deviennent plus forts et plus réguliers. Le système nerveux continue de se développer rapidement. Les sens du goût et de l'odorat s'affinent.,,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a05_exercice_physique_pendant,a06_sommeil_pendant_la,a08_liste_dachats_pour","s02_fer,s07_magnesium","c06,c15",week_19.png,
20,Semaine 20 – ### À mi-parcours,,,🍐,2,"Banane (16,4 cm)",,,16.4,300.0,"Vous êtes à mi-chemin de votre grossesse ! Lors de l'échographie morphologique, on peut examiner en détail les organes et la structure de votre bébé. Les ongles ont poussé jusqu'au bout des doigts. Les dents de lait se forment sous les gencives. Le méconium commence à s'accumuler dans les intestins.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a20_mouvements_du_bébé,a06_sommeil_pendant_la,a05_exercice_physique_pendant","s02_fer,s07_magnesium","c06,c12,c15",week_20.png,
21,Semaine 21 – ### Le développement des sourcils et des cils,,,🥭,2,"Carotte (26,7 cm)",,,26.7,360.0,"Les sourcils et les cils de votre bébé sont maintenant bien visibles. Sa peau s'épaissit et devient moins transparente. Les mouvements sont désormais clairement perceptibles. Le système immunitaire continue de se renforcer. Si c'est un garçon, les testicules commencent à descendre vers le scrotum.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a20_mouvements_du_bébé,a06_sommeil_pendant_la,a05_exercice_physique_pendant","s02_fer,s07_magnesium","c07,c12,c15",week_21.png,
22,Semaine 22 – ### Le développement des sens,,,🥭,2,"Papaye (27,8 cm)",,,27.8,430.0,"Les sens de votre bébé continuent de se développer. Il peut désormais goûter le liquide amniotique, qui change de saveur selon ce que vous mangez. Les poumons commencent à s'exercer en ""respirant"" du liquide amniotique. Les lèvres deviennent plus distinctes et le nez prend sa forme définitive.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a20_mouvements_du_bébé,a06_sommeil_pendant_la,a05_exercice_physique_pendant","s02_fer,s07_magnesium","c07,c12,c15",week_22.png,
23,Semaine 23 – ### Le développement des poumons,,,🥭,2,"Aubergine (28,9 cm)",,,28.9,500.0,"Les poumons de votre bébé commencent à produire du surfactant, une substance qui les aidera à se déployer après la naissance. Les mouvements oculaires rapides commencent, indiquant des périodes de sommeil paradoxal. La moelle osseuse commence à produire des globules sanguins.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a20_mouvements_du_bébé,a06_sommeil_pendant_la,a05_exercice_physique_pendant","s02_fer,s07_magnesium","c07,c12,c15",week_23.png,
24,Semaine 24 – ### La viabilité,,,🥭,2,Maïs (30 cm),,,30.0,600.0,"Votre bébé atteint le stade de viabilité, ce qui signifie qu'il aurait une chance de survie en cas de naissance prématurée, avec des soins médicaux intensifs. Les empreintes digitales et plantaires sont complètement formées. Les poumons continuent de se développer mais ne sont pas encore matures.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a20_mouvements_du_bébé,a06_sommeil_pendant_la,a05_exercice_physique_pendant","s02_fer,s07_magnesium","c08,c12,c15",week_24.png,
25,Semaine 25 – ### L'ouverture des narines,,,🥥,2,"Chou-fleur (34,6 cm)",,,34.6,660.0,"Les narines de votre bébé, jusqu'ici fermées, commencent à s'ouvrir, lui permettant de pratiquer la respiration. Son sens de l'équilibre se développe. Il réagit de plus en plus aux sons extérieurs et peut sursauter en réponse à des bruits forts. Les poumons continuent leur maturation.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a20_mouvements_du_bébé,a06_sommeil_pendant_la,a05_exercice_physique_pendant","s02_fer,s07_magnesium","c08,c12,c15",week_25.png,
26,Semaine 26 – ### Le développement des yeux,,,🥥,2,"Chou (35,6 cm)",,,35.6,760.0,Les yeux de votre bébé commencent à s'ouvrir. Il peut cligner des yeux et a des cils complètement formés. Son système nerveux est suffisamment développé pour contrôler certaines fonctions corporelles. Il commence à stocker des graisses et des nutriments essentiels pour après la naissance.,,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a20_mouvements_du_bébé,a06_sommeil_pendant_la,a05_exercice_physique_pendant","s02_fer,s07_magnesium","c08,c12,c15",week_26.png,
27,Semaine 27 – ### Le développement du cerveau,,,🥥,2,"Chou-rave (36,6 cm)",,,36.6,875.0,"Le cerveau de votre bébé connaît une période de croissance rapide. Il peut désormais ouvrir et fermer ses yeux et pourrait même rêver pendant les phases de sommeil paradoxal. Ses poumons continuent de se développer, et il commence à établir des habitudes de sommeil et d'éveil.",,,"Le deuxième trimestre est souvent la période la plus agréable. Votre énergie est revenue et votre ventre s'arrondit. Vous pourriez ressentir des contractions de Braxton Hicks, des douleurs au dos et des problèmes de sommeil. Les vergetures peuvent apparaître.",,,"Soyez attentive aux signes de pré-éclampsie (maux de tête sévères, troubles de la vision, gonflement soudain) et à la diminution des mouvements fœtaux (rf03, rf04, rf05, rf08).",,,"a20_mouvements_du_bébé,a06_sommeil_pendant_la,a05_exercice_physique_pendant","s02_fer,s07_magnesium","c08,c12,c15",week_27.png,
28,Semaine 28 – ### Les périodes d'éveil et de sommeil,,,🥥,3,"Aubergine (37,6 cm)",,,37.6,1.0,Votre bébé a maintenant des périodes distinctes d'éveil et de sommeil. Il peut ouvrir les yeux et percevoir la lumière qui filtre à travers votre ventre. Son système respiratoire continue de mûrir. Il réagit de plus en plus aux sons et peut reconnaître votre voix.,,,"Le troisième trimestre apporte son lot de défis : fatigue, essoufflement, lourdeur et difficultés à trouver une position confortable pour dormir. L'utérus exerce une forte pression sur vos organes. Le col de l'utérus se prépare pour l'accouchement.",,,"Surveillez attentivement les mouvements du bébé (rf03). Toute perte de liquide (rupture de la poche des eaux) ou saignement doit vous amener à consulter immédiatement (rf01, rf09, rf13).",,,"a09_préparation_à_laccouchement,a10_différentes_méthodes_daccouchement,a11_péridurale","s02_fer,s07_magnesium","c09,c10,c13,c15",week_28.png,
29,Semaine 29 – ### Le développement des sens,,,🍉,3,"Butternut (38,6 cm)",,,38.6,1.15,"Les sens de votre bébé continuent de s'affiner. Il peut désormais percevoir la lumière, les sons, le goût et le toucher. Son cerveau peut traiter des informations plus complexes. Les poumons produisent de plus en plus de surfactant, essentiel pour respirer après la naissance.",,,"Le troisième trimestre apporte son lot de défis : fatigue, essoufflement, lourdeur et difficultés à trouver une position confortable pour dormir. L'utérus exerce une forte pression sur vos organes. Le col de l'utérus se prépare pour l'accouchement.",,,"Surveillez attentivement les mouvements du bébé (rf03). Toute perte de liquide (rupture de la poche des eaux) ou saignement doit vous amener à consulter immédiatement (rf01, rf09, rf13).",,,"a09_préparation_à_laccouchement,a10_différentes_méthodes_daccouchement,a11_péridurale","s02_fer,s07_magnesium","c09,c10,c13,c15",week_29.png,
30,Semaine 30 – ### Le développement des ongles,,,🍉,3,"Chou (39,9 cm)",,,39.9,1.3,"Les ongles de votre bébé ont atteint le bout de ses doigts et de ses orteils. Sa peau devient moins ridée à mesure qu'il prend du poids. Le système immunitaire se renforce. Les connexions neuronales dans son cerveau se multiplient rapidement, améliorant ses capacités cognitives.",,,"Le troisième trimestre apporte son lot de défis : fatigue, essoufflement, lourdeur et difficultés à trouver une position confortable pour dormir. L'utérus exerce une forte pression sur vos organes. Le col de l'utérus se prépare pour l'accouchement.",,,"Surveillez attentivement les mouvements du bébé (rf03). Toute perte de liquide (rupture de la poche des eaux) ou saignement doit vous amener à consulter immédiatement (rf01, rf09, rf13).",,,"a09_préparation_à_laccouchement,a10_différentes_méthodes_daccouchement,a11_péridurale","s02_fer,s07_magnesium","c09,c10,c13,c15",week_30.png,
31,Semaine 31 – ### Le développement des cinq sens,,,🍉,3,"Noix de coco (41,1 cm)",,,41.1,1.5,"Les cinq sens de votre bébé sont désormais fonctionnels. Il peut distinguer les saveurs dans le liquide amniotique, voir la lumière et l'obscurité, entendre les voix et les sons, sentir les odeurs transmises par le liquide amniotique et bien sûr, toucher son environnement et son propre corps.",,,"Le troisième trimestre apporte son lot de défis : fatigue, essoufflement, lourdeur et difficultés à trouver une position confortable pour dormir. L'utérus exerce une forte pression sur vos organes. Le col de l'utérus se prépare pour l'accouchement.",,,"Surveillez attentivement les mouvements du bébé (rf03). Toute perte de liquide (rupture de la poche des eaux) ou saignement doit vous amener à consulter immédiatement (rf01, rf09, rf13).",,,"a09_préparation_à_laccouchement,a10_différentes_méthodes_daccouchement,a11_péridurale","s02_fer,s07_magnesium","c09,c10,c13,c15",week_31.png,
32,Semaine 32 – ### Le développement des poumons,,,🍉,3,"Chou frisé (42,4 cm)",,,42.4,1.7,"Les poumons de votre bébé sont presque complètement développés, bien qu'ils continuent de mûrir. Il s'entraîne à respirer en pratiquant des mouvements respiratoires. Ses ongles sont complètement formés. Il prend du poids rapidement, accumulant des réserves de graisse sous sa peau.",,,"Le troisième trimestre apporte son lot de défis : fatigue, essoufflement, lourdeur et difficultés à trouver une position confortable pour dormir. L'utérus exerce une forte pression sur vos organes. Le col de l'utérus se prépare pour l'accouchement.",,,"Surveillez attentivement les mouvements du bébé (rf03). Toute perte de liquide (rupture de la poche des eaux) ou saignement doit vous amener à consulter immédiatement (rf01, rf09, rf13).",,,"a09_préparation_à_laccouchement,a10_différentes_méthodes_daccouchement,a11_péridurale","s02_fer,s07_magnesium","c09,c10,c13,c15",week_32.png,
