tip_id,week,day,category,tip_short_fr,tip_long_fr,tip_short_ar,tip_long_ar,tip_short_en,tip_long_en,sources
tip_w02_d04,2,4,bien_etre,Gérez votre stress. Le cortisol n'aide pas la conception.,"Pourquoi ? le bien‑être réduit le stress et aide ton corps à s’adapter ✅ Aujourd’hui : accorde‑toi 10–20 min de repos ou de douceur 💛 Normal si : fatigue, émotions variables, besoin de ralentir",تحكمي في توترك، الكورتيزول لا يساعد على الحمل.,لماذا؟ الراحة تقلل التوتر وتساعد جسمك على التكيّف ✅ اليوم: امنحي نفسكِ 10–20 دقيقة راحة أو عناية 💛 طبيعي إذا: تعب، تقلبات مزاج، حاجة للهدوء,Manage your stress. Cortisol doesn't help conception.,"Why? well‑being lowers stress and helps your body adapt ✅ Today: give yourself 10–20 min of rest or kindness 💛 Normal if: fatigue, mood shifts, need to slow down",internal
tip_w02_d05,2,5,exercice,Continuez le sport modérément. C'est bon pour le flux sanguin.,"Pourquoi ? le mouvement améliore la circulation et le confort ✅ Aujourd’hui : fais une activité douce 15–30 min 🚩 Stoppez et consultez si : douleur, vertiges, saignement, contractions régulières",تحركي باعتدال، مفيد للدورة الدموية.,لماذا؟ الحركة تحسن الدورة الدموية والراحة ✅ اليوم: مارسي نشاطاً خفيفاً 15–30 دقيقة 🚩 توقفي وراجعي الطبيب إذا: ألم، دوار، نزف، تقلصات منتظمة,"Move moderately, good for blood flow.","Why? movement improves circulation and comfort ✅ Today: do a gentle activity for 15–30 min 🚩 Stop and seek care if: pain, dizziness, bleeding, regular contractions",ACOG
tip_w02_d06,2,6,bien_etre,Pensez positif. L'esprit influence le corps.,"Pourquoi ? le bien‑être réduit le stress et aide ton corps à s’adapter ✅ Aujourd’hui : accorde‑toi 10–20 min de repos ou de douceur 💛 Normal si : fatigue, émotions variables, besoin de ralentir",فكري بإيجابية، العقل يساعد الجسم.,لماذا؟ الراحة تقلل التوتر وتساعد جسمك على التكيّف ✅ اليوم: امنحي نفسكِ 10–20 دقيقة راحة أو عناية 💛 طبيعي إذا: تعب، تقلبات مزاج، حاجة للهدوء,"Think positive, mind helps body.","Why? well‑being lowers stress and helps your body adapt ✅ Today: give yourself 10–20 min of rest or kindness 💛 Normal if: fatigue, mood shifts, need to slow down",internal
tip_w02_d07,2,7,developpement,La fécondation a peut-être eu lieu... Mystère !,"Ce qui se passe : bébé change très vite à ce stade ✅ Aujourd’hui : continue les habitudes saines (eau, sommeil, vitamines) 💛 Normal si : ne pas sentir grand‑chose au début est normal",ربما حدث الإخصاب... سر!,ما الذي يحدث: الطفل يتطور بسرعة في هذه المرحلة ✅ اليوم: واصلي العادات الصحية (ماء، نوم، فيتامينات) 💛 طبيعي إذا: عدم الشعور بشيء واضح في البداية طبيعي,Fertilization might have happened... Mystery!,"What’s happening: baby is changing fast at this stage ✅ Today: keep healthy habits (water, sleep, vitamins) 💛 Normal if: not feeling much early on is normal",internal
tip_w03_d01,3,1,sante,L'œuf s'implante. Un léger saignement (spotting) est possible.,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",البويضة تنغرس. قد يحدث نزيف خفيف، وهذا طبيعي.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,The egg implants. Slight bleeding (spotting) is possible.,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",ACOG
tip_w03_d02,3,2,sante,Vos seins peuvent être tendus. Premier signe ?,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",ثدياك مشدودان؟ هذه علامة أولى.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Are your breasts tender? First sign?,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",ACOG
tip_w03_d03,3,3,sante,Fatigue soudaine ? C'est la progestérone qui monte.,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",تعب مفاجئ؟ شكراً لارتفاع البروجسترون.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Sudden fatigue? Thanks to rising progesterone.,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",ACOG
tip_w03_d04,3,4,sante,Évitez la litière du chat (Toxoplasmose).,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",تجنبي فضلات القطط (داء المقوسات).,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Avoid cat litter (Toxoplasmose).,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",HAS
tip_w03_d05,3,5,nutrition,Lavez bien vos légumes crus (vinaigre).,Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,اغسلي الخضروات النيئة بالخل.,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,Wash raw veggies with vinegar.,Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,HAS
tip_w03_d06,3,6,nutrition,Pas de viande crue. Cuisson à cœur obligatoire.,Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,لا للحم الني. الطهي الجيد إجباري.,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,No raw meat. Thorough cooking mandatory.,Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,HAS
tip_w03_d07,3,7,preparation,Le test de grossesse sera bientôt positif. Patience.,"Pourquoi ? ces étapes t’aident à anticiper et à vivre la grossesse sereinement ✅ Aujourd’hui : note cette info et prépare la prochaine étape 💡 À retenir : chaque grossesse est unique, ajuste avec ton médecin",التحليل سيكون إيجابياً قريباً. صبراً.,لماذا؟ هذه الخطوات تساعدك على الاستعداد بهدوء ✅ اليوم: سجّلي هذه المعلومة وجهّزي الخطوة التالية 💡 تذكّري: كل حمل مختلف، وسيتم التعديل مع طبيبك,Test will be positive soon. Patience.,Why? these steps help you plan calmly ✅ Today: note this in the app and plan the next step 💡 Remember: every pregnancy is unique—adjust with your clinician,internal
tip_w04_d01,4,1,bien_etre,Le test est + ! Félicitations !,"Pourquoi ? le bien‑être réduit le stress et aide ton corps à s’adapter ✅ Aujourd’hui : accorde‑toi 10–20 min de repos ou de douceur 💛 Normal si : fatigue, émotions variables, besoin de ralentir",التحليل إيجابي! مبروك!,لماذا؟ الراحة تقلل التوتر وتساعد جسمك على التكيّف ✅ اليوم: امنحي نفسكِ 10–20 دقيقة راحة أو عناية 💛 طبيعي إذا: تعب، تقلبات مزاج، حاجة للهدوء,The test is positive! Congratulations!,"Why? well‑being lowers stress and helps your body adapt ✅ Today: give yourself 10–20 min of rest or kindness 💛 Normal if: fatigue, mood shifts, need to slow down",internal
tip_w04_d02,4,2,developpement,Bébé a la taille d'une graine de pavot.,"Ce qui se passe : bébé change très vite à ce stade ✅ Aujourd’hui : continue les habitudes saines (eau, sommeil, vitamines) 💛 Normal si : ne pas sentir grand‑chose au début est normal",الطفل بحجم بذرة الخشخاش.,ما الذي يحدث: الطفل يتطور بسرعة في هذه المرحلة ✅ اليوم: واصلي العادات الصحية (ماء، نوم، فيتامينات) 💛 طبيعي إذا: عدم الشعور بشيء واضح في البداية طبيعي,Baby is the size of a poppy seed.,"What’s happening: baby is changing fast at this stage ✅ Today: keep healthy habits (water, sleep, vitamins) 💛 Normal if: not feeling much early on is normal",internal
tip_w04_d03,4,3,preparation,Prenez RDV chez votre médecin pour confirmer.,"Pourquoi ? ces étapes t’aident à anticiper et à vivre la grossesse sereinement ✅ Aujourd’hui : note cette info et prépare la prochaine étape 💡 À retenir : chaque grossesse est unique, ajuste avec ton médecin",خذي موعداً مع طبيبك للتأكيد.,لماذا؟ هذه الخطوات تساعدك على الاستعداد بهدوء ✅ اليوم: سجّلي هذه المعلومة وجهّزي الخطوة التالية 💡 تذكّري: كل حمل مختلف، وسيتم التعديل مع طبيبك,Make an appointment with your doctor to confirm.,Why? these steps help you plan calmly ✅ Today: note this in the app and plan the next step 💡 Remember: every pregnancy is unique—adjust with your clinician,internal
tip_w04_d04,4,4,nutrition,Nausées ? Mangez un biscuit sec au réveil.,Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,غثيان؟ كلي بسكويت جاف عند الاستيقاظ.,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,Nausea? Eat a dry biscuit upon waking.,Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,ACOG
tip_w04_d05,4,5,sante,Tiraillements dans le bas ventre ? L'utérus grandit.,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",شد أسفل البطن؟ الرحم يكبر.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Lower belly pulling? Uterus is growing.,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",ACOG
tip_w04_d06,4,6,sante,Évitez les bains trop chauds (hyperthermie).,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",تجنبي الحمامات الساخنة جداً (فرط الحرارة).,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Avoid overly hot baths (hyperthermia).,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",CNGOF
tip_w04_d07,4,7,bien_etre,Partagez la nouvelle avec le papa !,"Pourquoi ? le bien‑être réduit le stress et aide ton corps à s’adapter ✅ Aujourd’hui : accorde‑toi 10–20 min de repos ou de douceur 💛 Normal si : fatigue, émotions variables, besoin de ralentir",شارك الخبر مع الأب!,لماذا؟ الراحة تقلل التوتر وتساعد جسمك على التكيّف ✅ اليوم: امنحي نفسكِ 10–20 دقيقة راحة أو عناية 💛 طبيعي إذا: تعب، تقلبات مزاج، حاجة للهدوء,Share the news with dad!,"Why? well‑being lowers stress and helps your body adapt ✅ Today: give yourself 10–20 min of rest or kindness 💛 Normal if: fatigue, mood shifts, need to slow down",internal
tip_w05_d01,5,1,developpement,Bébé a la taille d'un pépin de pomme.,"Ce qui se passe : bébé change très vite à ce stade ✅ Aujourd’hui : continue les habitudes saines (eau, sommeil, vitamines) 💛 Normal si : ne pas sentir grand‑chose au début est normal",الطفل بحجم بذرة التفاح.,ما الذي يحدث: الطفل يتطور بسرعة في هذه المرحلة ✅ اليوم: واصلي العادات الصحية (ماء، نوم، فيتامينات) 💛 طبيعي إذا: عدم الشعور بشيء واضح في البداية طبيعي,Baby is the size of an apple seed.,"What’s happening: baby is changing fast at this stage ✅ Today: keep healthy habits (water, sleep, vitamins) 💛 Normal if: not feeling much early on is normal",internal
tip_w05_d02,5,2,developpement,Le cœur commence à battre. C'est fou !,"Ce qui se passe : bébé change très vite à ce stade ✅ Aujourd’hui : continue les habitudes saines (eau, sommeil, vitamines) 💛 Normal si : ne pas sentir grand‑chose au début est normal",بدأ القلب بالخفقان. إنه أمر مذهل!,ما الذي يحدث: الطفل يتطور بسرعة في هذه المرحلة ✅ اليوم: واصلي العادات الصحية (ماء، نوم، فيتامينات) 💛 طبيعي إذا: عدم الشعور بشيء واضح في البداية طبيعي,The heart starts beating. It's crazy!,"What’s happening: baby is changing fast at this stage ✅ Today: keep healthy habits (water, sleep, vitamins) 💛 Normal if: not feeling much early on is normal",internal
tip_w05_d03,5,3,nutrition,Gingembre frais dans l'eau chaude contre les nausées.,Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,الزنجبيل الطازج في الماء الساخن ضد الغثيان.,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,Fresh ginger in hot water against nausea.,Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,ACOG
tip_w05_d04,5,4,bien_etre,Dormez dès que vous pouvez. Votre corps travaille dur.,"Pourquoi ? le bien‑être réduit le stress et aide ton corps à s’adapter ✅ Aujourd’hui : accorde‑toi 10–20 min de repos ou de douceur 💛 Normal si : fatigue, émotions variables, besoin de ralentir",نامي كلما استطعت. جسمك يعمل بجد.,لماذا؟ الراحة تقلل التوتر وتساعد جسمك على التكيّف ✅ اليوم: امنحي نفسكِ 10–20 دقيقة راحة أو عناية 💛 طبيعي إذا: تعب، تقلبات مزاج، حاجة للهدوء,Sleep whenever you can. Your body works hard.,"Why? well‑being lowers stress and helps your body adapt ✅ Today: give yourself 10–20 min of rest or kindness 💛 Normal if: fatigue, mood shifts, need to slow down",internal
tip_w05_d05,5,5,sante,Évitez les produits ménagers toxiques.,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",تجنبي المنظفات السامة.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Avoid toxic cleaning products.,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",internal
tip_w05_d06,5,6,nutrition,Pas de fromage au lait cru.,Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,لا للجبن بالحليب غير المبستر.,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,No unpasteurized cheese.,Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,HAS
tip_w05_d07,5,7,sante,Mettez de la crème solaire (masque de grossesse).,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",ضعي واقياً شمسياً (قناع الحمل).,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Wear sunscreen (pregnancy mask).,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",internal
tip_w06_d01,6,1,developpement,Bébé a la taille d'un petit pois.,"Ce qui se passe : bébé change très vite à ce stade ✅ Aujourd’hui : continue les habitudes saines (eau, sommeil, vitamines) 💛 Normal si : ne pas sentir grand‑chose au début est normal",الطفل بحجم حبة بازلاء.,ما الذي يحدث: الطفل يتطور بسرعة في هذه المرحلة ✅ اليوم: واصلي العادات الصحية (ماء، نوم، فيتامينات) 💛 طبيعي إذا: عدم الشعور بشيء واضح في البداية طبيعي,Baby is the size of a pea.,"What’s happening: baby is changing fast at this stage ✅ Today: keep healthy habits (water, sleep, vitamins) 💛 Normal if: not feeling much early on is normal",internal
tip_w06_d02,6,2,sante,Envie de faire pipi souvent ? C'est normal.,"Pourquoi ? ta santé influence directement celle de bébé ✅ Aujourd’hui : suis le conseil du jour et écoute ton corps 🚩 Consultez si : douleur forte, saignement, vomissements incoercibles, malaise",رغبة متكررة في التبول؟ هذا طبيعي.,لماذا؟ صحتكِ تدعم صحة طفلك مباشرة ✅ اليوم: اتبعي نصيحة اليوم واصغي لجسمك 🚩 راجعي الطبيب إذا: ألم قوي، نزف، تقيؤ مستمر، إغماء,Frequent urge to pee? It's normal.,"Why? your health directly supports baby’s health ✅ Today: follow today’s advice and listen to your body 🚩 Seek care if: strong pain, bleeding, unstoppable vomiting, fainting",ACOG
tip_w06_d03,6,3,nutrition,"Mangez des petites quantités, souvent.",Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,كلي كميات صغيرة، مراراً.,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,"Eat small amounts, often.",Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,Nutrition
tip_w06_d04,6,4,bien_etre,"Hydratez votre poitrine, elle grossit.","Pourquoi ? le bien‑être réduit le stress et aide ton corps à s’adapter ✅ Aujourd’hui : accorde‑toi 10–20 min de repos ou de douceur 💛 Normal si : fatigue, émotions variables, besoin de ralentir",رطبي صدرك، إنه يكبر.,لماذا؟ الراحة تقلل التوتر وتساعد جسمك على التكيّف ✅ اليوم: امنحي نفسكِ 10–20 دقيقة راحة أو عناية 💛 طبيعي إذا: تعب، تقلبات مزاج، حاجة للهدوء,"Moisturize your breasts, they are growing.","Why? well‑being lowers stress and helps your body adapt ✅ Today: give yourself 10–20 min of rest or kindness 💛 Normal if: fatigue, mood shifts, need to slow down",internal
tip_w06_d05,6,5,nutrition,Évitez le café (max 2 tasses/jour).,Pourquoi ? une alimentation équilibrée nourrit bébé et limite les symptômes ✅ Aujourd’hui : ajoute un aliment clé lié au tip 💡 Astuce : mange en petites portions si nausées,تجنبي القهوة (كوبان يومياً كحد أقصى).,لماذا؟ الغذاء المتوازن يغذي الطفل ويخفف الأعراض ✅ اليوم: أضيفي طعاماً مفيداً مرتبطاً بالنصيحة 💡 نصيحة: كلي كميات صغيرة إذا كان لديكِ غثيان,Avoid coffee (max 2 cups/day).,Why? balanced food nourishes baby and eases symptoms ✅ Today: add a key food tied to the tip 💡 Tip: eat small portions if nauseous,OMS
