week_number,title_fr,title_ar,title_en,emoji,trimester,baby_size_label_fr,baby_size_label_ar,baby_size_label_en,baby_size_cm,baby_weight_g,baby_dev_text_fr,baby_dev_text_ar,baby_dev_text_en,mom_body_text_fr,mom_body_text_ar,mom_body_text_en,warnings_text_fr,warnings_text_ar,warnings_text_en,recommended_articles_ids,recommended_supplements_ids,calendar_template_ids,baby_image_static_url,baby_3d_model_url,Subject,Corps de la maman (FR),Avertissements (FR),Articles recommandés (IDs),Compléments recommandés (IDs),Modèles de calendrier (IDs),Error
11,Semaine 11 – ### Le développement des traits du visage,,,🍋,1er,"Figue (4,1 cm)",,,4.1,7.0,"Le visage est bien formé avec un nez et des lèvres distincts. Les oreilles se déplacent vers leur position finale. Le fœtus peut maintenant ouvrir et fermer sa bouche, et même avoir le hoquet. Les organes génitaux continuent de se développer.",,,,,,,,,,,,week_11.png,,11.0,"À 11 semaines de grossesse, vous approchez de la fin du premier trimestre, et pour beaucoup, c'est le début d'une amélioration notable. La fatigue intense et les nausées matinales, bien que toujours présentes pour certaines, commencent souvent à s'estomper. Votre corps travaille activement, et l'augmentation du volume sanguin peut entraîner une miction plus fréquente. Vos seins restent sensibles et peuvent avoir augmenté de volume. Il est possible que votre ventre commence à s'arrondir légèrement, même si cela est plus perceptible pour les grossesses suivantes. Les troubles digestifs comme l'indigestion et les ballonnements sont courants. Profitez de cette période pour retrouver un peu d'énergie et maintenir une alimentation équilibrée, riche en nutriments essentiels pour vous et le développement rapide de votre bébé.","Il est crucial de rester vigilante face à certains signes. Consultez immédiatement un professionnel de la santé si vous constatez des saignements vaginaux abondants, des douleurs abdominales intenses ou des crampes sévères, ou si vous perdez du liquide amniotique. Une fièvre élevée (supérieure à 38°C) non expliquée, des maux de tête persistants et violents, ou des troubles de la vision nécessitent également une attention médicale urgente. N'hésitez jamais à contacter votre médecin ou la maternité en cas de doute ou d'inquiétude. Votre bien-être et celui de votre bébé sont la priorité absolue.","a01,a02,a03,a04","s01,s02","c01,c02",
12,Semaine 12 – ### La formation des empreintes digitales,,,🍋,1er,"Citron vert (5,4 cm)",,,5.4,14.0,"Les empreintes digitales uniques de votre bébé se forment. Le système digestif commence à s'exercer en avalant du liquide amniotique. Les reins commencent à produire de l'urine qui est libérée dans le liquide amniotique. Le squelette, jusqu'ici cartilagineux, commence à s'ossifier.",,,,,,,,,,,,week_12.png,,12.0,"La 12e semaine de grossesse marque la fin du premier trimestre, souvent synonyme d'une amélioration notable de votre bien-être. Les nausées et la fatigue intense, symptômes fréquents des premières semaines, tendent à s'estomper. Votre utérus, ayant atteint la taille d'un pamplemousse, commence à se redresser et à sortir du bassin, ce qui peut soulager la pression sur votre vessie et diminuer le besoin fréquent d'uriner. Cependant, votre ventre commence à s'arrondir et vos vêtements habituels peuvent devenir serrés. Vous pourriez également remarquer une augmentation de la taille et de la sensibilité de vos seins, ainsi que l'apparition de colostrum. Les sautes d'humeur peuvent persister en raison des fluctuations hormonales, mais l'énergie revient progressivement, vous permettant de profiter davantage de cette période.","Bien que le risque de fausse couche diminue significativement après la 12e semaine, il est crucial de rester vigilante. Consultez immédiatement un professionnel de santé si vous constatez des saignements vaginaux abondants, des douleurs abdominales ou pelviennes intenses et persistantes, ou une perte de liquide amniotique. De même, une fièvre élevée (supérieure à 38,5°C) sans cause apparente, des maux de tête violents accompagnés de troubles de la vision, ou des vomissements si sévères qu'ils empêchent toute hydratation, nécessitent une évaluation médicale urgente. Votre santé et celle de votre bébé sont notre priorité.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
13,Semaine 13 – ### La fin du premier trimestre,,,🥑,1er,"Pêche (7,4 cm)",,,7.4,23.0,"Félicitations, vous avez terminé le premier trimestre ! Le risque de fausse couche diminue considérablement. Le fœtus a maintenant tous ses organes, bien qu'ils continuent à se développer et à mûrir. Les cordes vocales se forment. Le fœtus peut sucer son pouce et faire des expressions faciales.",,,,,,,,,,,,week_13.png,,13.0,"La 13e semaine marque la fin du premier trimestre et le début du second, souvent appelé l'âge d'or de la grossesse. Pour beaucoup de femmes, les symptômes désagréables du début, comme les nausées et la fatigue intense, commencent à s'estomper, laissant place à un regain d'énergie et de bien-être. Cependant, de nouveaux symptômes peuvent apparaître. L'utérus, qui grandit rapidement, peut provoquer des douleurs ligamentaires rondes, ressenties comme des tiraillements dans le bas-ventre ou l'aine. Les seins continuent de se développer et peuvent devenir plus sensibles. Une augmentation des pertes vaginales (leucorrhées) est également fréquente. Vous pourriez remarquer une amélioration de votre appétit et une stabilisation de votre humeur.","Bien que le risque de fausse couche diminue significativement à ce stade, il est crucial de rester attentive aux signes d'alerte. Consultez immédiatement un professionnel de la santé en cas de saignements vaginaux abondants, de douleurs abdominales ou pelviennes intenses et persistantes, ou de fièvre supérieure à 38°C. Une attention particulière doit être portée aux maux de tête sévères et persistants, aux troubles de la vision (vision floue, taches lumineuses), ou à un gonflement soudain et extrême des mains, du visage ou des jambes, qui pourraient indiquer une complication plus sérieuse. N'hésitez jamais à contacter votre médecin ou la maternité si vous avez le moindre doute ou une inquiétude.","a01, a02, a03, a04, a05","s01, s02","c01, c02",
14,Semaine 14 – ### Le développement des sens,,,🥑,2ème,"Citron (8,7 cm)",,,8.7,43.0,"Votre bébé commence à développer son sens du toucher et peut porter ses mains à son visage. Ses organes sensoriels poursuivent leur développement. Les yeux, bien que fermés, peuvent percevoir la lumière. Le système immunitaire commence à se former. Les mouvements deviennent plus coordonnés.",,,,,,,,,,,,week_14.png,,14.0,"La 14e semaine marque le début du deuxième trimestre, souvent surnommé la « lune de miel » de la grossesse. Pour beaucoup de futures mères, c'est une période de regain d'énergie et de diminution des nausées matinales. Votre utérus continue de grandir, et votre ventre commence à s'arrondir de manière plus visible. L'augmentation du volume sanguin et les changements hormonaux peuvent provoquer des symptômes tels que des saignements de nez occasionnels et des vertiges. Vous pourriez également remarquer des changements cutanés, comme le fameux « masque de grossesse » (mélasma) ou une amélioration de l'éclat de votre peau. Des douleurs dans le bas du dos sont fréquentes, il est donc important de maintenir une bonne posture et de pratiquer une activité physique douce et adaptée pour soulager ces tensions.","Bien que le deuxième trimestre soit généralement plus confortable, certains signaux d'alarme ne doivent jamais être ignorés. Consultez immédiatement un professionnel de la santé ou rendez-vous à l'hôpital si vous présentez : des **saignements vaginaux** importants, des **douleurs abdominales sévères** (surtout si elles sont en barre), des **maux de tête intenses** accompagnés de troubles de la vision, une **fièvre** élevée, ou un **gonflement soudain et généralisé** (mains, visage, jambes). Ces symptômes peuvent indiquer une complication nécessitant une évaluation médicale urgente. N'hésitez jamais à contacter votre équipe de soins si vous avez le moindre doute ou si votre état général se détériore.","a03,a05,a07,a11",s01,c01,
15,Semaine 15 – ### La croissance des cheveux,,,🥑,2ème,"Pomme (10,1 cm)",,,10.1,70.0,Les premiers cheveux fins commencent à apparaître sur la tête de votre bébé. Un duvet appelé lanugo recouvre également son corps pour le protéger. Les os continuent de se développer et deviennent plus solides. Le fœtus peut désormais faire des grimaces et froncer les sourcils.,,,,,,,,,,,,week_15.png,,15.0,"La quinzième semaine de grossesse marque souvent une période de regain d'énergie, typique du deuxième trimestre. Cependant, votre corps continue son adaptation rapide. L'utérus en pleine croissance peut provoquer des **douleurs ligamentaires rondes**, de brèves sensations de tiraillement sur les côtés du ventre. Une **augmentation des pertes vaginales** (leucorrhée) est un phénomène normal, dû à l'accroissement du flux sanguin dans la région pelvienne. Vous pourriez également remarquer des **saignements de nez** ou des **gencives plus sensibles**, ainsi que des **maux de tête** occasionnels. Votre peau peut présenter des changements, comme une légère augmentation de la production de sébum ou l'apparition de taches brunes (chloasma). Il est essentiel de vous reposer lorsque vous en ressentez le besoin et de maintenir une bonne hydratation.","Votre santé et celle de votre bébé sont notre priorité. Bien que la plupart des symptômes soient bénins, certains signes nécessitent une consultation médicale **immédiate**. Ne tardez jamais à contacter votre professionnel de santé ou à vous rendre aux urgences si vous constatez : des **saignements vaginaux** importants (plus que de légères traces), une **fièvre** supérieure à 38°C, des **maux de tête sévères** qui ne s'atténuent pas ou s'aggravent, des **troubles de la vision** ou des **douleurs abdominales intenses** et persistantes. De même, un **gonflement extrême** et soudain du visage ou des mains, ou des **pertes vaginales** malodorantes ou de couleur anormale, doivent vous alerter. En cas de doute, consultez sans hésiter.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
16,Semaine 16 – ### L'éveil des sens,,,🥑,2ème,Avocat (16 cm),,,16.0,150.0,Votre bébé commence à entendre les sons extérieurs et peut réagir à la lumière vive. Ses yeux peuvent désormais percevoir la lumière même s'ils restent fermés. Son squelette continue de se développer et ses os se renforcent.,,,,,,,,,,,,week_16.png,,16.0,"La seizième semaine marque une période souvent agréable de la grossesse, le deuxième trimestre étant surnommé la ""lune de miel"" de la grossesse. Les nausées et la fatigue du premier trimestre s'estompent généralement, laissant place à un regain d'énergie. Votre utérus continue de grandir, ce qui peut entraîner des **douleurs ligamentaires rondes** (douleurs sur les côtés de l'abdomen) à mesure que les ligaments de soutien s'étirent. Vous pourriez également commencer à ressentir les premiers mouvements de votre bébé, appelés **quickening**, bien que cela puisse prendre quelques semaines de plus. D'autres symptômes courants incluent des maux de tête, des saignements de nez, des gencives enflées, et une peau plus grasse ou plus lumineuse. La constipation et les brûlures d'estomac peuvent persister ou apparaître, nécessitant une attention particulière à l'alimentation et à l'hydratation [1] [2].","Bien que le deuxième trimestre soit plus serein, il est crucial de rester vigilante. **Consultez immédiatement** un professionnel de la santé si vous présentez l'un des signes d'alerte suivants : **saignements vaginaux** (plus que de légères taches), **douleurs abdominales intenses** ou crampes qui ne passent pas, **fièvre** supérieure à 38°C, **maux de tête persistants et sévères** qui ne sont pas soulagés par le repos ou le paracétamol, **gonflement soudain et important** des mains, du visage ou des chevilles, ou des **changements de vision** (vision floue, taches). Ces symptômes peuvent indiquer des complications sérieuses comme une pré-éclampsie ou un problème placentaire. N'hésitez jamais à appeler votre maternité ou les urgences en cas de doute [3] [4].","a03,a05,a07,a11,a14,a19","s01,s03,s04","c02,c03",
17,Semaine 17 – ### Le développement des glandes sudoripares,,,🍐,2ème,Poire (13 cm),,,13.0,140.0,"Les glandes sudoripares de votre bébé se développent. Le tissu adipeux commence à se former sous la peau, ce qui l'aidera à réguler sa température après la naissance. Le cordon ombilical devient plus épais et plus fort. Si c'est une fille, son utérus et ses ovaires sont en place.",,,,,,,,,,,,week_17.png,,17.0,"À 17 semaines de grossesse, votre corps continue de s'adapter à la croissance rapide de votre bébé. Vous pourriez remarquer que votre ventre s'est bien arrondi, car votre utérus monte et sort de votre bassin. Cette croissance peut entraîner des **douleurs ligamentaires rondes**, ressenties comme des élancements ou des douleurs sur les côtés de l'abdomen, généralement bénignes.

Le deuxième trimestre est souvent synonyme d'un regain d'énergie, mais la fatigue et les problèmes de sommeil peuvent persister. D'autres symptômes courants incluent des **étourdissements** dus à l'augmentation du flux sanguin, des **saignements de nez** ou des **gencives enflées et sensibles**. C'est également le moment où vous pourriez commencer à sentir les premiers mouvements de votre bébé, souvent décrits comme des bulles ou des battements d'ailes. L'apparition de **vergetures** sur le ventre et les seins est fréquente, ainsi que l'assombrissement de la peau (chloasma ou ligne brune).","Bien que la plupart des symptômes soient normaux, certains signes nécessitent une consultation médicale immédiate. **Ne les ignorez jamais.**

Consultez sans tarder si vous présentez : des **saignements vaginaux abondants** ou un écoulement de liquide, des **maux de tête sévères** qui ne disparaissent pas, des **changements de vision** (vision floue, taches), une **fièvre** supérieure à 38°C, des **douleurs abdominales intenses** ou des **vomissements persistants**. Une douleur ou un gonflement soudain et important dans une jambe pourrait indiquer une thrombose. En cas de doute, contactez votre sage-femme ou votre médecin. Mieux vaut consulter pour rien que de prendre un risque.","a05,a07,a12,a15,a18,a22","s01,s02,s03","c01,c02",
18,Semaine 18 – ### Les premiers mouvements ressentis,,,🍐,2ème,"Poivron (14,2 cm)",,,14.2,190.0,"Vous pourriez commencer à sentir les mouvements de votre bébé, souvent décrits comme des ""papillons"" ou des ""bulles"". Les oreilles ont maintenant leur position définitive sur les côtés de la tête. Les yeux font face vers l'avant plutôt que sur les côtés. Le système digestif continue de se développer.",,,,,,,,,,,,week_18.png,,18.0,"La 18e semaine de grossesse est souvent un moment mémorable, car vous pourriez ressentir les **premiers mouvements de votre bébé** [1]. Ces sensations, initialement subtiles comme des bulles ou des papillonnements, sont appelées le *quickening*. Votre corps continue de s'adapter à la croissance de l'utérus, ce qui peut entraîner une certaine maladresse et l'apparition de la **ligne noire** (*linea nigra*) sur votre ventre [1]. Parmi les désagréments courants, on retrouve les **vertiges** dus à une pression artérielle plus basse, les **douleurs ligamentaires rondes** sur les côtés de l'abdomen, ainsi que les **crampes dans les jambes** et la **congestion nasale** [1]. Il est essentiel de vous reposer et de maintenir une bonne hydratation pour gérer ces symptômes.","Bien que le deuxième trimestre soit généralement plus confortable, certains signes nécessitent une attention médicale immédiate. **Consultez sans délai** si vous présentez des **saignements vaginaux** importants ou persistants, des **douleurs abdominales aiguës** qui ne s'atténuent pas, ou une **fièvre élevée** (supérieure à 38,5°C) [2]. De même, des **maux de tête intenses et soudains**, des **troubles de la vision** (vision floue, taches lumineuses) ou un **gonflement soudain et excessif** du visage et des mains peuvent indiquer une complication [2]. Dans tous les cas, si vous avez un doute ou si vous ressentez une diminution notable des mouvements fœtaux (une fois qu'ils sont bien établis), contactez votre professionnel de santé.","a01,a02,a03,a04,a05,a06","s01,s02",c01,
19,Semaine 19 – ### Le développement du vernix,,,🍐,2ème,"Mangue (15,3 cm)",,,15.3,240.0,Une substance crémeuse appelée vernix caseosa commence à recouvrir la peau de votre bébé pour la protéger du liquide amniotique. Les mouvements deviennent plus forts et plus réguliers. Le système nerveux continue de se développer rapidement. Les sens du goût et de l'odorat s'affinent.,,,,,,,,,,,,week_19.png,,19.0,"À 19 semaines de grossesse, vous pourriez ressentir les mouvements de votre bébé de manière plus distincte, souvent décrits comme de légers battements ou des bulles. C'est une étape marquante de votre grossesse. L'expansion de votre utérus peut provoquer des **douleurs ligamentaires rondes**, une sensation de tiraillement sur les côtés de l'abdomen. Les désagréments digestifs tels que les **brûlures d'estomac, l'indigestion et la constipation** sont fréquents en raison des changements hormonaux. Le sommeil peut devenir plus difficile ; essayez de dormir sur le côté avec des oreillers pour soutenir votre ventre et vos jambes. Des symptômes circulatoires comme les **crampes aux jambes, les étourdissements et la sensation de chaleur** sont également courants, tout comme l'apparition de vergetures ou de changements cutanés.","Il est essentiel de rester attentive à certains signaux d'alerte. Consultez **immédiatement** un professionnel de la santé si vous constatez des **saignements vaginaux** (rouge vif ou marron), des **douleurs abdominales sévères** ou des **crampes persistantes**. Une **fièvre** supérieure à 38°C, des **maux de tête intenses** et persistants, ou un **gonflement soudain** du visage, des mains ou des pieds nécessitent également une évaluation urgente. Bien que les mouvements fœtaux puissent être subtils, signalez toute **absence ou diminution significative** des mouvements ressentis. Votre vigilance est votre meilleur atout pour garantir le bien-être de votre bébé et le vôtre.","a04,a07,a12,a15,a21","s01,s03","c01,c03",
20,Semaine 20 – ### À mi-parcours,,,🍐,2ème,"Banane (16,4 cm)",,,16.4,300.0,"Vous êtes à mi-chemin de votre grossesse ! Lors de l'échographie morphologique, on peut examiner en détail les organes et la structure de votre bébé. Les ongles ont poussé jusqu'au bout des doigts. Les dents de lait se forment sous les gencives. Le méconium commence à s'accumuler dans les intestins.",,,,,,,,,,,,week_20.png,,20.0,"Félicitations, vous êtes à mi-parcours de votre grossesse ! À 20 semaines (22 SA), votre utérus atteint le niveau de votre nombril, rendant votre ventre bien visible. Vous pourriez ressentir une **augmentation de l'énergie** et une diminution des nausées, caractéristiques du deuxième trimestre. Le symptôme le plus marquant est souvent la perception des **mouvements de votre bébé** (appelés *quickening*), qui se manifestent par de légers battements, des bulles ou des frémissements. Votre corps continue de s'adapter : des douleurs ligamentaires rondes peuvent survenir sur les côtés de l'abdomen à mesure que l'utérus grandit. Les problèmes de sommeil dus aux crampes nocturnes dans les jambes sont fréquents ; étirer le mollet ou masser la zone peut aider. D'autres désagréments courants incluent les brûlures d'estomac, les étourdissements, et potentiellement l'apparition de vergetures ou de taches sombres sur la peau (chloasma). Il est essentiel de maintenir une bonne hydratation et de pratiquer des exercices doux pour gérer ces symptômes.","Votre bien-être et celui de votre bébé sont notre priorité. Bien que la 20e semaine soit généralement sereine, certains signes nécessitent une consultation médicale **immédiate**. Ne tardez jamais si vous constatez des **saignements vaginaux** importants, des **douleurs abdominales intenses** et persistantes, ou une **fièvre** supérieure à 38°C. De même, une **diminution notable des mouvements du bébé** après les avoir ressentis est un signal d'alerte important. Si vous présentez des **maux de tête sévères**, des **troubles de la vision** (vision floue, taches lumineuses) ou un **gonflement soudain** du visage, des mains ou des pieds, cela pourrait indiquer une pré-éclampsie et requiert une évaluation urgente. En cas de doute, contactez sans hésiter votre professionnel de santé ou rendez-vous aux urgences. Il vaut toujours mieux vérifier.","a05,a06,a07,a08,a09","s03,s04","c03,c04",
21,Semaine 21 – ### Le développement des sourcils et des cils,,,🥭,2ème,"Carotte (26,7 cm)",,,26.7,360.0,"Les sourcils et les cils de votre bébé sont maintenant bien visibles. Sa peau s'épaissit et devient moins transparente. Les mouvements sont désormais clairement perceptibles. Le système immunitaire continue de se renforcer. Si c'est un garçon, les testicules commencent à descendre vers le scrotum.",,,,,,,,,,,,week_21.png,,21.0,"La 21e semaine marque le début du sixième mois de grossesse, une période où les changements physiques deviennent plus prononcés. L'utérus continue de s'étendre, et vous pourriez ressentir une **douleur ligamentaire ronde** (ou *round ligament pain*), une sensation de tiraillement ou de crampe sur les côtés de l'abdomen, due à l'étirement des ligaments qui soutiennent votre utérus. Les mouvements de votre bébé sont désormais plus fréquents et plus forts, vous permettant de mieux vous connecter à lui. Avec l'expansion de l'abdomen, la peau peut s'étirer, provoquant des **démangeaisons** et l'apparition potentielle de **vergetures**. De plus, la pression exercée par l'utérus sur les organes digestifs peut entraîner des **brûlures d'estomac** ou des **remontées acides**, tandis que la rétention d'eau et les changements circulatoires peuvent causer un léger **gonflement** des pieds et des chevilles.","Il est essentiel de rester vigilante face à certains signaux d'alerte, même si le deuxième trimestre est généralement plus confortable. **Consultez immédiatement un professionnel de la santé** si vous constatez des **saignements vaginaux** ou une **perte de liquide amniotique**. Soyez également attentive aux signes de pré-éclampsie, notamment des **maux de tête sévères** et persistants, des **troubles de la vision** (tels que des flashs ou une vision floue), ou des **douleurs abdominales intenses** en barre. Une **fièvre** inexpliquée ou une **absence prolongée de mouvements fœtaux** après les avoir sentis régulièrement sont aussi des motifs de consultation urgente. N'hésitez jamais à contacter votre équipe médicale en cas de doute ; il est toujours préférable de vérifier.","a01,a02,a03,a04","s01,s02,s03","c01,c02",
22,Semaine 22 – ### Le développement des sens,,,🥭,2ème,"Papaye (27,8 cm)",,,27.8,430.0,"Les sens de votre bébé continuent de se développer. Il peut désormais goûter le liquide amniotique, qui change de saveur selon ce que vous mangez. Les poumons commencent à s'exercer en ""respirant"" du liquide amniotique. Les lèvres deviennent plus distinctes et le nez prend sa forme définitive.",,,,,,,,,,,,week_22.png,,22.0,"À 22 semaines de grossesse, vous êtes au cœur du deuxième trimestre, souvent considéré comme le plus agréable. Cependant, l'augmentation du volume sanguin et la croissance de l'utérus peuvent entraîner de nouveaux symptômes. Les **mouvements de votre bébé** deviennent plus distincts, passant de légers ""flutters"" à de véritables coups. Vous pourriez remarquer l'apparition de **vergetures** sur le ventre, les seins ou les cuisses, ainsi que des **douleurs ligamentaires rondes** causées par l'étirement de l'utérus. Les **jambes lourdes** et les **crampes nocturnes** sont fréquentes, tout comme l'**essoufflement** dû à la pression sur le diaphragme. Une bonne hydratation et des exercices doux peuvent aider à gérer ces désagréments. Il est également possible que vous ressentiez des **maux de tête** ou des **étourdissements** passagers. (117 mots)","Il est essentiel de rester vigilante face à certains signes qui nécessitent une consultation médicale **immédiate**. Si vous ressentez des **maux de tête intenses et persistants** qui ne cèdent pas au repos ou aux antalgiques, des **troubles de la vision** (flou, taches lumineuses), ou un **gonflement soudain et important** des mains ou du visage, contactez votre médecin ou les urgences. Ces symptômes peuvent être des signes de pré-éclampsie. De même, une **diminution ou un arrêt des mouvements du bébé**, des **saignements vaginaux** (plus qu'un simple *spotting*), une **fièvre supérieure à 38°C**, ou des **douleurs abdominales aiguës** qui ne passent pas, sont des urgences. N'hésitez jamais à consulter si vous avez un doute : il vaut mieux une consultation pour rien qu'un risque non identifié. (118 mots)","a01,a03,a05,a07,a09,a11","s01,s02","c03,c04",
23,Semaine 23 – ### Le développement des poumons,,,🥭,2ème,"Aubergine (28,9 cm)",,,28.9,500.0,"Les poumons de votre bébé commencent à produire du surfactant, une substance qui les aidera à se déployer après la naissance. Les mouvements oculaires rapides commencent, indiquant des périodes de sommeil paradoxal. La moelle osseuse commence à produire des globules sanguins.",,,,,,,,,,,,week_23.png,,23.0,"À 23 semaines de grossesse, vous êtes bien installée dans le deuxième trimestre, souvent considéré comme le plus agréable. Votre ventre est désormais bien visible, et vous pourriez ressentir des douleurs au niveau des côtes ou un léger essoufflement, car l'utérus en croissance exerce une pression sur votre cage thoracique et vos poumons. Les mouvements de votre bébé sont de plus en plus intenses et réguliers, vous permettant d'établir un rythme. Il est possible que vos seins commencent à produire du **colostrum**, le premier lait. D'autres symptômes courants incluent les maux de dos, les crampes aux jambes, l'indigestion et un gonflement léger des pieds et des chevilles. Il est essentiel de se reposer et de surveiller l'intensité des mouvements fœtaux.","Votre bien-être et celui de votre bébé sont notre priorité. Si vous ressentez l'un des symptômes suivants, il est **impératif de consulter immédiatement** votre médecin ou votre sage-femme : des saignements vaginaux, une perte de liquide, des maux de tête intenses et persistants, des troubles de la vision (taches, flou), une douleur abdominale ou thoracique sévère, ou un gonflement soudain et important du visage, des mains ou des jambes. De même, si vous constatez une **diminution ou un arrêt des mouvements de votre bébé**, ne tardez pas à contacter les urgences. Ces signes peuvent indiquer une complication nécessitant une attention médicale urgente. Faites confiance à votre instinct et n'hésitez jamais à demander de l'aide.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
24,Semaine 24 – ### La viabilité,,,🥭,2ème,Maïs (30 cm),,,30.0,600.0,"Votre bébé atteint le stade de viabilité, ce qui signifie qu'il aurait une chance de survie en cas de naissance prématurée, avec des soins médicaux intensifs. Les empreintes digitales et plantaires sont complètement formées. Les poumons continuent de se développer mais ne sont pas encore matures.",,,,,,,,,,,,week_24.png,,24.0,"À 24 semaines de grossesse, vous êtes bien installée dans le deuxième trimestre. Votre utérus continue de s'étendre, ce qui peut entraîner des douleurs ligamentaires rondes, ressenties comme des tiraillements sur les côtés de votre ventre [1]. Il est également fréquent de ressentir une augmentation de l'appétit. La prise de poids est normale, mais il n'est pas nécessaire de manger ""pour deux"" [1]. Les symptômes courants incluent également la fatigue, des problèmes de sommeil, des maux de dos, des indigestions, des brûlures d'estomac, des crampes dans les jambes, et un gonflement des mains et des pieds [1]. Vous pourriez aussi remarquer des changements cutanés, comme le chloasma (masque de grossesse) ou une peau plus grasse [1]. C'est une période où les mouvements de votre bébé deviennent plus réguliers et perceptibles, ce qui est un signe rassurant de son développement.","Votre santé et celle de votre bébé sont notre priorité. Consultez **immédiatement** un professionnel de la santé si vous présentez l'un des signes d'alerte suivants [2] :
*   **Maux de tête sévères** qui ne disparaissent pas ou s'aggravent.
*   **Changements de vision** (vision floue, taches lumineuses).
*   **Douleur abdominale sévère** qui ne s'atténue pas.
*   **Saignements vaginaux** plus importants que de légères taches.
*   **Diminution ou arrêt des mouvements du bébé**.
*   **Fièvre** supérieure à 38°C.
*   **Gonflement extrême** et soudain des mains ou du visage.
Ces symptômes peuvent indiquer une complication sérieuse nécessitant une intervention rapide. N'hésitez jamais à consulter en cas de doute.","a03,a05,a12,a18","s01,s03","c01,c03",
25,Semaine 25 – ### L'ouverture des narines,,,🥥,2ème,"Chou-fleur (34,6 cm)",,,34.6,660.0,"Les narines de votre bébé, jusqu'ici fermées, commencent à s'ouvrir, lui permettant de pratiquer la respiration. Son sens de l'équilibre se développe. Il réagit de plus en plus aux sons extérieurs et peut sursauter en réponse à des bruits forts. Les poumons continuent leur maturation.",,,,,,,,,,,,week_25.png,,25.0,"À 25 semaines de grossesse, vous êtes bien installée dans le deuxième trimestre, et votre ventre continue de s'arrondir. Il est fréquent de ressentir des douleurs au dos et aux hanches, souvent dues à la pression exercée par l'utérus en croissance sur le nerf sciatique, un phénomène connu sous le nom de sciatique. Vous pourriez également remarquer un gonflement (œdème) au niveau des mains, des pieds et du visage, causé par la rétention d'eau. Bien que généralement bénin, il est important de le signaler à votre sage-femme ou à votre médecin. Les troubles digestifs comme les brûlures d'estomac et les indigestions sont aussi courants, car votre bébé prend de plus en plus de place. Enfin, vous pourriez être plus sensible aux infections urinaires et vaginales, et les mouvements de votre bébé sont désormais plus fréquents et plus perceptibles.","Votre bien-être et celui de votre bébé sont notre priorité. Si vous constatez l'un des signes suivants, il est **impératif** de contacter immédiatement votre professionnel de santé ou de vous rendre aux urgences : des **saignements vaginaux** importants, des **maux de tête sévères** et persistants, des **douleurs abdominales intenses** ou une douleur juste sous les côtes, des **troubles de la vision** (comme des flashs ou une vision floue), ou un **gonflement soudain et extrême** du visage, des mains et des pieds. Ces symptômes peuvent être des signes de complications sérieuses comme la pré-éclampsie. De plus, si vous remarquez une **diminution significative ou une absence des mouvements de votre bébé**, ne tardez pas à consulter. Nous sommes là pour vous accompagner et vous rassurer.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
26,Semaine 26 – ### Le développement des yeux,,,🥥,2ème,"Chou (35,6 cm)",,,35.6,760.0,Les yeux de votre bébé commencent à s'ouvrir. Il peut cligner des yeux et a des cils complètement formés. Son système nerveux est suffisamment développé pour contrôler certaines fonctions corporelles. Il commence à stocker des graisses et des nutriments essentiels pour après la naissance.,,,,,,,,,,,,week_26.png,,26.0,"À 26 semaines de grossesse, votre corps continue de s'adapter à la croissance rapide de votre bébé. Vous pourriez ressentir une **fatigue** plus marquée et des **troubles du sommeil** en raison de la difficulté à trouver une position confortable. La prise de poids et le changement de votre centre de gravité peuvent entraîner une certaine **maladresse** et des **douleurs ligamentaires** au niveau du ventre. Les **crampes aux jambes**, souvent nocturnes, sont fréquentes, tout comme les **brûlures d'estomac** et l'**indigestion** dues à la pression de l'utérus sur l'estomac. Il est essentiel de rester active, tout en étant patiente avec les changements constants de votre corps. Vous pourriez également remarquer un gonflement des mains et des pieds.","Votre bien-être et celui de votre bébé sont notre priorité. Si vous constatez une **nette diminution ou un arrêt des mouvements de votre bébé**, contactez immédiatement votre sage-femme ou l'unité de maternité. De même, des **saignements vaginaux** importants, des **contractions utérines** régulières et douloureuses avant 37 semaines, ou une **perte de liquide amniotique** nécessitent une consultation d'urgence. Soyez également vigilante face à des **maux de tête sévères** persistants, des **troubles de la vision** ou une **douleur intense** dans la partie supérieure de l'abdomen, qui pourraient être des signes de pré-éclampsie. En cas de doute, il est toujours préférable de consulter un professionnel de santé.","a01,a02,a03,a04,a05","s01,s02","c01,c02",
